,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
0,1960,Harper Lee,"['Pulitzer Prize for Fiction (1961)', 'Audie Award for Classic (2007)', 'National Book Award Finalist for Fiction (1961)', 'Alabama Author Award for Fiction (1961)']","['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,324,4749235,4.28,95121,To Kill a Mockingbird,1
1,1997,J.K. Rowling,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year  Award for Children (1999)', 'Audie Award (2000)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000)"", 'South Carolina Book Award for Junior Book Award (2001)', 'Grand Canyon Reader Award for Teen Book (2000)', 'Charlotte Award (2000)', 'Nene Award (2000)', ""Massachusetts Children's Book Award (2000)"", 'Colorado Blue Spruce Young Adult Book Award (2001)', 'Blue Hen Book Award for Chapter Book (2001)', ""Nevada Young Readers' Award for Young Reader Category (2000)"", 'Golden Archer Award for Middle/Junior High (2000)', 'Indian Paintbrush Book Award (2000)', 'Hotze de Roosprijs (2002)', 'Nestlé Smarties Book Prize for 9–11 years (1997)', 'Eliot Rosewater Indiana High School Book Award (2001)', 'Kinderboekwinkelprijs (1999)', 'Parenting Book of the Year Award (1998)', 'North East Teenage Book Award (1999)', ""Specsavers National Book Award for Children's Book of the Year (1998)"", 'Washington State Sasquatch Award (2000)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (1999)', 'Carnegie Medal Nominee (1997)', ""Rebecca Caudill Young Readers' Book Award (2001)"", 'Premi Protagonista Jove for Categoria 12-13 anys (2000)']","['Fantasy', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,309,7506525,4.48,118994,Harry Potter and the Sorcerer's Stone,1
2,1947,Anne Frank,['Luisterboek Award Nominee (2008)'],"['Nonfiction', 'Classics', 'History']",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,283,2913798,4.16,30816,The Diary of a Young Girl,0
3,1813,Jane Austen,[],"['Classics', 'Fiction', 'Romance']",https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,279,3186544,4.27,73332,Pride and Prejudice,0
4,1943,Antoine de Saint-Exupéry,['Retro Hugo Award for Best Novella (2019)'],"['Classics', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/170448.Animal_Farm,93,1481918,4.31,43211,The Little Prince,0
5,1945,George Orwell,"['Prometheus Hall of Fame Award (2011)', 'Retro Hugo Award for Best Novella (1996)']","['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/157993.The_Little_Prince,141,2909911,3.96,61013,Animal Farm,0
6,1951,J.D. Salinger,"['Teen Read Award Nominee for Best All-Time-Fave (2010)', 'National Book Award Finalist for Fiction (1952)']","['Classics', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/4671.The_Great_Gatsby,277,2857459,3.81,60330,The Catcher in the Rye,0
7,1925,F. Scott Fitzgerald,"['Grammy Award Nominee for Best Spoken Word Album (2003)', 'Long Island Reads (2002)']","['Classics', 'Fiction', 'Academic']",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,200,3978719,3.93,71591,The Great Gatsby,0
8,1955,J.R.R. Tolkien,"['Hugo Award Nominee for Best All-Time Series (1966)', 'Prometheus Hall of Fame Award (2009)', 'International Fantasy Award for Fiction (1957)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2002)', 'Prix du Meilleur Livre Étranger for Roman (1972)', 'Nynorsk litteraturpris (2006)']","['Fantasy', 'Classics', 'Fiction']",https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,1216,589638,4.50,12046,The Lord of the Rings,1
9,2005,Markus Zusak,"['National Jewish Book Award for Children’s and Young Adult Literature (2006)', ""Book Sense Book of the Year Award for Children's Literature (2007)"", 'Buxtehuder Bulle (2008)', 'Sydney Taylor Book Award for Teen Readers (2007)', 'Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)', 'Michael L. Printz Award Nominee (2007)', 'Exclusive Books Boeke Prize (2007)', 'Rhode Island Teen Book Award Nominee (2008)', 'The Quill Award Nominee for Young Adult/Teen (2006)', 'Zilveren Zoen (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009)', 'Association of Jewish Libraries for Teen Book Award (2006)', 'Lincoln Award Nominee (2010)', 'Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008)', 'Kathleen Mitchell Award', 'Ena Noel Award (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2009)', 'LovelyBooks Leserpreis for Allgemeine Literatur (2009)', 'Margaret A. Edwards Award (2014)']","['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/19063.The_Book_Thief,552,1942334,4.38,116822,The Book Thief,0
10,1847,Charlotte Brontë,[],"['Classics', 'Fiction', 'Romance']",https://www.goodreads.com/book/show/10210.Jane_Eyre,532,1699086,4.13,45133,Jane Eyre,0
11,1949,George Orwell,"['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']","['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/5470.1984,328,3363247,4.19,76011,1984,0
12,1954,William Golding,[],"['Classics', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,182,2362177,3.69,39832,Lord of the Flies,0
13,1956,C.S. Lewis,[],"['Fantasy', 'Classics', 'Fiction']",https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,767,545577,4.26,10672,The Chronicles of Narnia,1
