,url,title,author,num_reviews,num_ratings,avg_ratings,original_publish_year,series,genres,awards,num_pages,award_number,mean_norm_ratings,min_max
0,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,Harper Lee,95121,4749235,4.28,1960,True,"['Classics', 'Fiction', 'Historical']","['Pulitzer Prize for Fiction (1961)', 'Audie Award for Classic (2007)', 'National Book Award Finalist for Fiction (1961)', 'Alabama Author Award for Fiction (1961)']",324,4,0.13,6.94
1,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,Harry Potter and the Sorcerer's Stone,J.K. Rowling,118994,7506525,4.48,1997,True,"['Fantasy', 'Fiction', 'Young Adult']","[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year  Award for Children (1999)', 'Audie Award (2000)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000)"", 'South Carolina Book Award for Junior Book Award (2001)', 'Grand Canyon Reader Award for Teen Book (2000)', 'Charlotte Award (2000)', 'Nene Award (2000)', ""Massachusetts Children's Book Award (2000)"", 'Colorado Blue Spruce Young Adult Book Award (2001)', 'Blue Hen Book Award for Chapter Book (2001)', ""Nevada Young Readers' Award for Young Reader Category (2000)"", 'Golden Archer Award for Middle/Junior High (2000)', 'Indian Paintbrush Book Award (2000)', 'Hotze de Roosprijs (2002)', 'Nestlé Smarties Book Prize for 9–11 years (1997)', 'Eliot Rosewater Indiana High School Book Award (2001)', 'Kinderboekwinkelprijs (1999)', 'Parenting Book of the Year Award (1998)', 'North East Teenage Book Award (1999)', ""Specsavers National Book Award for Children's Book of the Year (1998)"", 'Washington State Sasquatch Award (2000)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (1999)', 'Carnegie Medal Nominee (1997)', ""Rebecca Caudill Young Readers' Book Award (2001)"", 'Premi Protagonista Jove for Categoria 12-13 anys (2000)']",309,28,0.26,8.12
2,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,The Diary of a Young Girl,Anne Frank,30816,2913798,4.16,1947,False,"['Nonfiction', 'Classics', 'History']",['Luisterboek Award Nominee (2008)'],283,1,0.05,6.24
3,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,Pride and Prejudice,Jane Austen,73332,3186544,4.27,1813,False,"['Classics', 'Fiction', 'Romance']",[],279,1,0.13,6.88
4,https://www.goodreads.com/book/show/170448.Animal_Farm,The Little Prince,Antoine de Saint-Exupéry,43211,1481918,4.31,1943,False,"['Classics', 'Fiction', 'Fantasy']",['Retro Hugo Award for Best Novella (2019)'],93,1,0.15,7.12
5,https://www.goodreads.com/book/show/157993.The_Little_Prince,Animal Farm,George Orwell,61013,2909911,3.96,1945,False,"['Classics', 'Fiction', 'Science Fiction']","['Prometheus Hall of Fame Award (2011)', 'Retro Hugo Award for Best Novella (1996)']",141,2,-0.08,5.06
6,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Catcher in the Rye,J.D. Salinger,60330,2857459,3.81,1951,False,"['Classics', 'Fiction', 'Young Adult']","['Teen Read Award Nominee for Best All-Time-Fave (2010)', 'National Book Award Finalist for Fiction (1952)']",277,2,-0.17,4.18
7,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,The Great Gatsby,F. Scott Fitzgerald,71591,3978719,3.93,1925,False,"['Classics', 'Fiction', 'Academic']","['Grammy Award Nominee for Best Spoken Word Album (2003)', 'Long Island Reads (2002)']",200,2,-0.1,4.88
8,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,The Lord of the Rings,J.R.R. Tolkien,12046,589638,4.5,1955,True,"['Fantasy', 'Classics', 'Fiction']","['Hugo Award Nominee for Best All-Time Series (1966)', 'Prometheus Hall of Fame Award (2009)', 'International Fantasy Award for Fiction (1957)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2002)', 'Prix du Meilleur Livre Étranger for Roman (1972)', 'Nynorsk litteraturpris (2006)']",1216,6,0.28,8.24
9,https://www.goodreads.com/book/show/19063.The_Book_Thief,The Book Thief,Markus Zusak,116822,1942334,4.38,2005,False,"['Historical', 'Historical Fiction', 'Fiction']","['National Jewish Book Award for Children’s and Young Adult Literature (2006)', ""Book Sense Book of the Year Award for Children's Literature (2007)"", 'Buxtehuder Bulle (2008)', 'Sydney Taylor Book Award for Teen Readers (2007)', 'Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)', 'Michael L. Printz Award Nominee (2007)', 'Exclusive Books Boeke Prize (2007)', 'Rhode Island Teen Book Award Nominee (2008)', 'The Quill Award Nominee for Young Adult/Teen (2006)', 'Zilveren Zoen (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009)', 'Association of Jewish Libraries for Teen Book Award (2006)', 'Lincoln Award Nominee (2010)', 'Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008)', 'Kathleen Mitchell Award', 'Ena Noel Award (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2009)', 'LovelyBooks Leserpreis for Allgemeine Literatur (2009)', 'Margaret A. Edwards Award (2014)']",552,20,0.2,7.53
